"CODIGOCLIENTE";"%SHR GRUPO1CLIENTE";"%SHR GRUPO 2CLIENTE";"%SHR GRUPO 3CLIENTE";"%SHR GRUPO 4CLIENTE";"%SHR GRUPO 5CLIENTE"
18365847;0,00;0,00;0,00;0,00;0,00
18365445;0,00;0,00;0,00;0,00;0,00
18363387;0,00;0,00;0,00;0,00;0,00
18359568;0,00;0,00;0,00;0,00;0,00
18357414;0,00;0,00;0,00;0,00;0,00
18309291;0,00;0,00;0,00;0,00;0,00
18307980;0,00;0,00;0,00;0,00;0,00
18305010;0,00;0,00;0,00;0,00;0,00
18291954;0,00;0,00;0,00;0,00;0,00
18267663;0,10;0,00;0,09;0,67;0,43
18249444;0,31;0,20;0,67;0,00;0,00
18235506;0,00;0,00;0,00;0,00;0,00
18228531;0,33;0,33;0,30;0,00;0,51
18219966;0,23;0,38;0,38;0,00;0,01
18217647;0,11;0,00;0,10;0,67;0,24
18213777;0,32;0,48;0,51;0,00;0,03
18209955;0,14;0,07;0,50;0,00;0,04
18209991;0,34;0,24;0,44;0,00;0,16
18209823;0,60;0,54;0,67;0,00;0,00
18204966;0,00;0,00;0,00;0,00;0,00
18197295;0,64;0,67;0,67;0,00;0,26
18196998;0,50;0,50;0,52;0,67;0,23
18193557;0,46;0,67;0,49;0,00;0,10
18192561;0,00;0,00;0,00;0,00;0,00
18183897;0,40;0,00;0,41;0,00;0,28
18184170;0,54;0,00;0,54;0,00;0,00
18179196;0,63;0,67;0,62;0,00;0,38
18175566;0,33;0,67;0,33;0,00;0,10
18175212;0,00;0,00;0,00;0,00;0,00
18168423;0,39;0,49;0,41;0,00;0,17
18166824;0,65;0,00;0,65;0,67;0,58
18141942;0,00;0,00;0,00;0,00;0,00
18140886;0,35;0,35;0,00;0,00;0,00
18136386;0,52;0,47;0,67;0,00;0,25
18135792;0,00;0,00;0,00;0,00;0,00
18131736;0,32;0,46;0,46;0,67;0,06
18129561;0,56;0,56;0,63;0,00;0,20
18129558;0,00;0,00;0,00;0,00;0,00
18128826;0,00;0,00;0,00;0,00;0,00
18128385;0,00;0,00;0,00;0,00;0,00
18128391;0,24;0,23;0,37;0,00;0,05
18128196;0,21;0,18;0,27;0,00;0,42
18128199;0,00;0,00;0,00;0,00;0,00
18122664;0,23;0,35;0,30;0,00;0,02
18118122;0,62;0,00;0,67;0,00;0,48
18104598;0,00;0,00;0,00;0,00;0,00
18090831;0,36;0,31;0,67;0,00;0,27
18085179;0,00;0,00;0,00;0,00;0,00
18082779;0,58;0,55;0,64;0,00;0,16
18082785;0,25;0,22;0,28;0,00;0,47
18080787;0,67;0,67;0,67;0,67;0,67
18079758;0,15;0,10;0,29;0,00;0,42
18079875;0,00;0,00;0,00;0,00;0,00
18078084;0,58;0,00;0,62;0,67;0,30
18075309;0,00;0,00;0,00;0,00;0,00
18068619;0,61;0,63;0,67;0,67;0,22
18059016;0,00;0,00;0,00;0,00;0,00
18054840;0,01;0,05;0,00;0,67;0,62
18048045;0,31;0,49;0,39;0,00;0,07
18048048;0,00;0,00;0,00;0,00;0,00
18046185;0,35;0,60;0,25;0,67;0,13
18037632;0,43;0,49;0,43;0,00;0,13
18033738;0,00;0,00;0,00;0,00;0,00
18023949;0,00;0,00;0,00;0,00;0,00
18016122;0,46;0,45;0,51;0,00;0,30
18015765;0,27;0,19;0,54;0,00;0,19
18015738;0,00;0,00;0,00;0,00;0,00
18013935;0,00;0,00;0,00;0,00;0,00
18011103;0,00;0,00;0,00;0,00;0,00
18010122;0,20;0,67;0,13;0,00;0,19
18008805;0,00;0,00;0,00;0,00;0,00
18007101;0,07;0,04;0,38;0,00;0,61
18006300;0,00;0,00;0,00;0,00;0,00
18005088;0,00;0,00;0,00;0,00;0,00
18004926;0,00;0,00;0,00;0,00;0,00
18003150;0,00;0,00;0,00;0,00;0,00
18002187;0,00;0,00;0,00;0,00;0,00
18002193;0,00;0,00;0,00;0,00;0,00
18002196;0,27;0,44;0,20;0,00;0,00
18001806;0,27;0,38;0,18;0,67;0,60
7154442;0,00;0,00;0,00;0,00;0,00
7153752;0,34;0,67;0,26;0,00;0,35
7153170;0,00;0,00;0,00;0,00;0,00
7152771;0,43;0,43;0,45;0,00;0,24
7152792;0,61;0,67;0,67;0,67;0,11
7151025;0,40;0,46;0,36;0,00;0,60
7150365;0,33;0,37;0,43;0,00;0,02
7149933;0,38;0,37;0,57;0,00;0,05
7149651;0,00;0,00;0,00;0,00;0,00
7149264;0,57;0,67;0,54;0,00;0,37
7149063;0,65;0,67;0,67;0,00;0,39
7146420;0,00;0,00;0,00;0,00;0,00
7145604;0,50;0,38;0,65;0,00;0,46
7145607;0,35;0,25;0,54;0,00;0,26
7142385;0,00;0,00;0,00;0,00;0,00
7140882;0,43;0,00;0,43;0,00;0,55
7134078;0,55;0,67;0,52;0,67;0,39
7130271;0,55;0,61;0,46;0,67;0,32
7130325;0,14;0,06;0,52;0,67;0,06
7130346;0,42;0,29;0,64;0,00;0,15
6084051;0,00;0,00;0,00;0,00;0,00
7122300;0,67;0,00;0,67;0,00;0,00
7122411;0,42;0,54;0,51;0,00;0,06
7120947;0,00;0,00;0,00;0,00;0,00
7117212;0,00;0,00;0,00;0,00;0,00
7114944;0,00;0,00;0,00;0,00;0,00
7112934;0,00;0,00;0,00;0,00;0,00
7112637;0,49;0,45;0,67;0,00;0,16
7106928;0,00;0,00;0,00;0,00;0,00
7106403;0,33;0,50;0,63;0,00;0,04
7106019;0,00;0,00;0,00;0,00;0,00
7104720;0,50;0,41;0,64;0,67;0,17
7103613;0,00;0,00;0,00;0,00;0,00
7096080;0,43;0,57;0,49;0,00;0,18
7092177;0,37;0,60;0,21;0,00;0,14
6337377;0,53;0,67;0,55;0,67;0,10
7089327;0,00;0,00;0,00;0,00;0,00
7085847;0,00;0,00;0,00;0,00;0,00
6071496;0,50;0,51;0,51;0,00;0,22
6150573;0,30;0,00;0,31;0,00;0,23
7079997;0,30;0,17;0,59;0,52;0,56
7077450;0,00;0,00;0,00;0,00;0,00
7075266;0,49;0,00;0,49;0,00;0,00
6124893;0,45;0,58;0,46;0,00;0,06
7071663;0,39;0,50;0,34;0,67;0,16
7068171;0,60;0,67;0,65;0,00;0,12
7062723;0,45;0,46;0,42;0,00;0,59
7055472;0,46;0,67;0,36;0,67;0,10
6002748;0,58;0,00;0,59;0,00;0,43
6003231;0,38;0,67;0,33;0,00;0,11
6003762;0,00;0,00;0,00;0,00;0,00
6005835;0,00;0,00;0,00;0,00;0,00
6006918;0,54;0,00;0,53;0,00;0,67
6007455;0,67;0,67;0,67;0,00;0,67
6008325;0,46;0,35;0,58;0,44;0,16
6008622;0,00;0,00;0,00;0,00;0,00
6008760;0,00;0,00;0,00;0,00;0,00
6009192;0,56;0,59;0,53;0,00;0,47
6009867;0,35;0,36;0,29;0,67;0,14
6010071;0,67;0,67;0,67;0,00;0,67
6010278;0,14;0,18;0,12;0,00;0,00
6011430;0,67;0,00;0,00;0,00;0,67
6017739;0,40;0,33;0,46;0,00;0,49
6018264;0,30;0,00;0,30;0,00;0,00
6023961;0,36;0,47;0,32;0,00;0,21
6026961;0,58;0,63;0,63;0,00;0,15
6027489;0,49;0,33;0,67;0,00;0,31
6032208;0,00;0,00;0,00;0,00;0,00
6032298;0,27;0,29;0,24;0,67;0,37
6032427;0,58;0,60;0,60;0,00;0,23
6032622;0,51;0,67;0,67;0,00;0,13
6032907;0,00;0,00;0,00;0,00;0,00
6036270;0,41;0,40;0,41;0,00;0,36
6038142;0,42;0,36;0,55;0,67;0,32
6040578;0,50;0,67;0,24;0,00;0,67
6043575;0,59;0,64;0,52;0,00;0,59
6047235;0,40;0,35;0,50;0,67;0,09
6050244;0,60;0,57;0,62;0,00;0,59
6054276;0,62;0,67;0,67;0,00;0,37
6055344;0,60;0,58;0,61;0,00;0,67
6059829;0,42;0,29;0,49;0,67;0,48
6081717;0,46;0,61;0,54;0,00;0,03
6081810;0,00;0,00;0,00;0,00;0,00
6083565;0,24;0,13;0,53;0,10;0,00
6085299;0,00;0,00;0,00;0,00;0,00
6097323;0,00;0,00;0,00;0,00;0,00
6098415;0,00;0,00;0,00;0,00;0,00
6103110;0,12;0,05;0,56;0,00;0,19
6103926;0,54;0,67;0,65;0,67;0,14
6107976;0,36;0,55;0,21;0,00;0,34
6110319;0,00;0,00;0,00;0,00;0,00
6116157;0,00;0,00;0,00;0,00;0,00
6126069;0,65;0,67;0,00;0,00;0,43
6126873;0,00;0,00;0,00;0,00;0,00
6129162;0,42;0,38;0,60;0,67;0,36
6131109;0,00;0,00;0,00;0,00;0,00
6134982;0,47;0,38;0,67;0,00;0,39
6139014;0,38;0,00;0,39;0,00;0,29
6146928;0,00;0,00;0,00;0,00;0,00
6150489;0,00;0,00;0,00;0,00;0,00
6151332;0,47;0,33;0,64;0,00;0,28
6151746;0,00;0,00;0,00;0,00;0,00
6154605;0,00;0,00;0,00;0,00;0,00
6156300;0,49;0,63;0,53;0,00;0,19
6166425;0,14;0,10;0,58;0,00;0,04
6186882;0,53;0,67;0,67;0,00;0,10
6243348;0,50;0,44;0,67;0,00;0,34
6246366;0,15;0,00;0,15;0,00;0,19
6251766;0,38;0,54;0,09;0,00;0,12
6252435;0,50;0,53;0,60;0,00;0,12
6254691;0,58;0,62;0,61;0,00;0,20
6258870;0,32;0,66;0,33;0,06;0,15
6261333;0,00;0,00;0,00;0,00;0,00
6263229;0,40;0,59;0,66;0,00;0,05
6269316;0,19;0,00;0,17;0,00;0,32
6272250;0,27;0,34;0,27;0,44;0,02
6285144;0,00;0,00;0,00;0,00;0,00
6290370;0,49;0,52;0,38;0,67;0,36
6292833;0,61;0,67;0,63;0,00;0,34
6293616;0,46;0,50;0,40;0,67;0,59
6295911;0,66;0,00;0,67;0,00;0,53
6296961;0,22;0,32;0,17;0,00;0,08
6302196;0,17;0,00;0,23;0,00;0,04
6310506;0,00;0,00;0,00;0,00;0,00
6318723;0,12;0,00;0,00;0,00;0,12
6327039;0,45;0,59;0,43;0,00;0,08
6327729;0,00;0,00;0,00;0,00;0,00
6332412;0,00;0,00;0,00;0,00;0,00
6337302;0,31;0,40;0,20;0,00;0,67
6339540;0,00;0,00;0,00;0,00;0,00
6341196;0,00;0,00;0,00;0,00;0,00
6345696;0,00;0,00;0,00;0,00;0,00
6346083;0,58;0,58;0,67;0,00;0,13
6354216;0,32;0,36;0,43;0,00;0,03
6354390;0,62;0,67;0,59;0,00;0,28
6365868;0,47;0,63;0,44;0,67;0,12
6405702;0,34;0,51;0,37;0,00;0,04
6405888;0,49;0,00;0,51;0,00;0,37
6412185;0,00;0,00;0,00;0,00;0,00
6412209;0,41;0,25;0,56;0,67;0,36
6412431;0,47;0,36;0,59;0,67;0,14
6416193;0,00;0,00;0,00;0,00;0,00
6416199;0,47;0,49;0,38;0,67;0,37
6416955;0,00;0,00;0,00;0,00;0,00
6416964;0,00;0,00;0,00;0,00;0,00
6417015;0,35;0,57;0,44;0,00;0,03
6765150;0,57;0,61;0,57;0,00;0,25
6775944;0,00;0,00;0,00;0,00;0,00
6776985;0,00;0,00;0,00;0,00;0,00
6837510;0,45;0,00;0,39;0,67;0,67
6861045;0,00;0,00;0,00;0,00;0,00
6861054;0,00;0,00;0,00;0,00;0,00
6912594;0,33;0,50;0,43;0,67;0,03
6918084;0,00;0,00;0,00;0,00;0,00
6919428;0,53;0,67;0,55;0,00;0,08
6919503;0,39;0,00;0,38;0,00;0,54
6943620;0,00;0,00;0,00;0,00;0,00
6949833;0,00;0,00;0,00;0,00;0,00
6956178;0,32;0,23;0,46;0,00;0,19
6960852;0,22;0,56;0,13;0,00;0,15
6997122;0,67;0,00;0,67;0,00;0,00
7010820;0,64;0,62;0,67;0,67;0,43
7019679;0,10;0,07;0,20;0,00;0,20
7023156;0,00;0,00;0,00;0,00;0,00
7023897;0,61;0,67;0,67;0,00;0,32
7030461;0,63;0,67;0,64;0,67;0,37
7033839;0,57;0,67;0,49;0,00;0,43
7039092;0,00;0,00;0,00;0,00;0,00
18365934;0,00;0,00;0,00;0,00;0,00
18304917;0,00;0,00;0,00;0,00;0,00
18300765;0,00;0,00;0,00;0,00;0,00
18295059;0,00;0,00;0,00;0,00;0,00
18289995;0,00;0,00;0,00;0,00;0,00
18204969;0,00;0,00;0,00;0,00;0,00
18194085;0,00;0,00;0,00;0,00;0,00
18165411;0,00;0,00;0,00;0,00;0,00
18143841;0,00;0,00;0,00;0,00;0,00
18136470;0,00;0,00;0,00;0,00;0,00
18123750;0,00;0,00;0,00;0,00;0,00
18118113;0,00;0,00;0,00;0,00;0,00
18113508;0,00;0,00;0,00;0,00;0,00
18098013;0,00;0,00;0,00;0,00;0,00
18091752;0,00;0,00;0,00;0,00;0,00
18080712;0,00;0,00;0,00;0,00;0,00
18075240;0,00;0,00;0,00;0,00;0,00
18068640;0,00;0,00;0,00;0,00;0,00
18059760;0,00;0,00;0,00;0,00;0,00
18055668;0,00;0,00;0,00;0,00;0,00
18052302;0,00;0,00;0,00;0,00;0,00
18043596;0,00;0,00;0,00;0,00;0,00
18002037;0,48;0,67;0,52;0,00;0,26
7064124;0,26;0,33;0,24;0,67;0,06
6030069;0,00;0,00;0,00;0,00;0,00
6135573;0,67;0,67;0,67;0,00;0,60
6191958;0,00;0,00;0,00;0,00;0,00
6329994;0,26;0,21;0,55;0,00;0,09
6767535;0,00;0,00;0,00;0,00;0,00
6862650;0,48;0,67;0,43;0,00;0,14
18054492;0,25;0,28;0,22;0,67;0,37
18054534;0,00;0,00;0,00;0,00;0,00
18040512;0,00;0,00;0,00;0,00;0,00
6106836;0,00;0,00;0,00;0,00;0,00
6288414;0,00;0,00;0,00;0,00;0,00
6295416;0,00;0,00;0,00;0,00;0,00
18048594;0,43;0,39;0,45;0,51;0,65
7100778;0,34;0,52;0,20;0,55;0,13
7100784;0,31;0,31;0,28;0,44;0,52
7083195;0,30;0,29;0,31;0,58;0,15
7076520;0,36;0,39;0,31;0,34;0,27
6009876;0,39;0,19;0,34;0,61;0,44
6332568;0,19;0,23;0,10;0,48;0,12
6354546;0,35;0,40;0,33;0,37;0,09
6764562;0,22;0,27;0,11;0,58;0,16
6775701;0,36;0,43;0,28;0,57;0,05
18048513;0,43;0,48;0,33;0,46;0,66
7082847;0,25;0,30;0,22;0,46;0,03
7075260;0,47;0,67;0,39;0,39;0,24
6012903;0,33;0,18;0,33;0,49;0,42
6040596;0,36;0,26;0,28;0,48;0,63
7024215;0,33;0,38;0,20;0,65;0,19
18358530;0,00;0,00;0,00;0,00;0,00
18358266;0,00;0,00;0,00;0,00;0,00
18163443;0,37;0,38;0,34;0,67;0,56
18162585;0,44;0,49;0,42;0,67;0,23
18146469;0,55;0,67;0,51;0,67;0,22
18130239;0,42;0,36;0,45;0,56;0,64
18051009;0,29;0,20;0,42;0,67;0,30
18048000;0,41;0,47;0,29;0,65;0,48
18047646;0,46;0,50;0,50;0,67;0,13
18032454;0,57;0,54;0,60;0,67;0,63
18032457;0,30;0,24;0,38;0,61;0,16
18019185;0,22;0,21;0,25;0,67;0,10
18017922;0,49;0,55;0,41;0,64;0,61
18015600;0,30;0,26;0,42;0,66;0,06
