codigo;populacao;densidade_pop;idh;pib
3500105;35023;82.15;0.79;32838.7
3500204;3571;16.85;0.73;23911.98
3500303;35954;67.72;0.715;21719.5
3500402;8137;53.05;0.781;17688.07
3500501;18599;287.16;0.745;24727.02
3500550;6040;13.83;0.757;26362.59
3500600;3380;488.89;0.854;41378.02
3500709;37023;35.73;0.745;69828.53
3500758;5918;30.66;0.712;15426.66
3500808;4147;32.86;0.741;18074.69
3500907;4134;12.16;0.687;48984.4
3501004;16164;16.8;0.73;28541.39
3501103;4110;12.86;0.7;24529.77
3501152;18484;201.28;0.766;99392.72
3501202;3712;10.74;0.728;24830.77
3501301;24830;67.69;0.758;19024.25
3501400;5179;30.36;0.688;9771.95
3501509;3206;35.38;0.722;14823.57
3501608;237112;1572.75;0.811;44417.02
3501707;39962;280.91;0.751;21643.91
3501806;5956;22.54;0.745;16655.61
3501905;71700;147.75;0.785;48680.71
3502002;4933;13.18;0.754;29771.71
3502101;57112;57.39;0.779;54270.98
3502200;24969;21.61;0.719;34197.41
3502309;6627;7.67;0.721;20118.47
3502408;4085;11.66;0.741;16891.98
3502507;36129;289.13;0.755;30760.41
3502606;4234;24.86;0.721;22567.32
3502705;24526;25.85;0.71;24498.9
3502754;21854;117.63;0.704;103080.36
3502804;195874;155.54;0.788;35797.47
3502903;33499;106.88;0.776;20402.88
3503000;5585;25.39;0.74;22763.73
3503109;6348;21.42;0.685;20640.43
3503158;2478;15.89;0.68;10289.63
3503208;233744;207.9;0.815;39065.74
3503307;132934;184.3;0.781;38412.06
3503356;1811;7.27;0.722;27756.09
3503406;8505;15.53;0.744;20317.67
3503505;3876;12.11;0.697;9757.85
3503604;11099;123.35;0.695;11717.73
3503703;9573;64.19;0.733;69837.66
3503802;53450;248.15;0.749;19388.74
3503901;88455;779.33;0.784;55521.78
3503950;1825;26.09;0.735;16808.44
3504008;103666;206.7;0.805;27921.64
3504107;141398;264.57;0.765;42412.58
3504206;15123;32.72;0.773;19441.24
3504305;5369;9.18;0.714;53431.32
3504404;13433;33.4;0.705;26101.7
3504503;90063;68.37;0.767;28025.47
3504602;17236;132.32;0.746;19311.66
3504701;5532;40.4;0.669;8535.38
3504800;8994;54.18;0.756;20025.4
3504909;10896;16.58;0.733;20068.92
3505005;3441;20.35;0.711;20287.75
3505104;7335;32.14;0.699;13925.31
3505203;34961;71.14;0.75;41510.78
3505302;36127;235.12;0.788;38128.22
3505351;5688;12.93;0.66;14551.58
3505401;7687;7.67;0.641;10286.62
3505500;121344;71.6;0.789;36842.26
3505609;32434;195.66;0.725;15185.41
3505708;271306;3665.21;0.786;177735.3
3505807;20954;118.95;0.751;39033.19
3505906;62024;66.48;0.761;27229.67
3506003;374272;515.12;0.801;35577.22
3506102;77436;109.81;0.78;41444.67
3506201;2955;8.87;0.744;44106.36
3506300;11137;44.12;0.734;18250.23
3506359;61736;97.21;0.73;25674.73
3506409;7949;44.63;0.768;24144.27
3506508;122359;204.79;0.78;27389.84
3506607;32251;90.03;0.712;23459.93
3506706;14824;19.75;0.681;21317.01
3506805;12204;29.84;0.742;87643.77
3506904;11534;14.72;0.705;14349.1
3507001;59793;194.07;0.78;45941.81
3507100;24898;181.87;0.713;23407.62
3507159;3923;26.73;0.66;12797.53
3507209;836;6.8;0.746;100029.91
3507308;4776;34.95;0.754;42757.16
3507407;15925;26.31;0.73;24720.06
3507456;2621;6.59;0.705;23844.62
3507506;144820;85.88;0.8;34339.02
3507605;166753;286.26;0.776;31346.47
3507704;5630;25.7;0.737;15873.08
3507753;2841;24.41;0.71;274572.12
3507803;24592;75.8;0.755;22582.08
3507902;24163;19.59;0.74;28357.32
3508009;19789;15.52;0.667;19528.74
3508108;17003;47.19;0.763;30970.21
3508207;4447;15.21;0.735;75887.45
3508306;4286;18.19;0.694;18464.94
3508405;48966;159.87;0.738;87725.88
3508504;93488;229.66;0.788;38964.63
3508603;33067;104.49;0.764;17202.31
3508702;18961;39.44;0.72;16250.05
3508801;17689;18.05;0.742;25039
3508900;4190;16.11;0.729;13658.49
3509007;100129;900.37;0.781;27897.02
3509106;5800;9.16;0.697;13996.95
3509205;75638;488.18;0.728;178670.47
3509254;28605;62.43;0.694;36388.89
3509304;10486;55.22;0.734;14085.49
3509403;25935;35.41;0.713;21481.97
3509452;5991;30.09;0.717;18521.39
3509502;1194094;1359.6;0.805;49876.62
3509601;83735;932.92;0.769;20515.77
3509700;51763;164.76;0.749;23400.87
3509809;4932;9.38;0.706;28307.64
3509908;12539;9.86;0.72;16149.97
3509957;5071;82.33;0.704;30668.16
3510005;31212;50.12;0.747;29350.05
3510104;2787;37.94;0.789;31697.4
3510153;5139;76.34;0.68;20412.48
3510203;47159;28.15;0.721;17535.99
3510302;20419;103.2;0.699;14528.11
3510401;55141;150.45;0.75;29907.83
3510500;119625;207.88;0.759;23100.59
